"Sample ID","Species","Data source","Biosample type","Tissue type","Biosample name"
"Sample_02_0571","Human","NCBI GEO/SRA","Cell line","Brain","LN229_1mM_glucose_5mM_acetate"
"Sample_02_0572","Human","NCBI GEO/SRA","Cell line","Brain","LN229_1_mM_glucose"
"Sample_02_0573","Human","NCBI GEO/SRA","Cell line","Blood","Nalm6_1"
"Sample_02_0574","Human","NCBI GEO/SRA","Cell line","Blood","MOLM-13_sgNeg2"
"Sample_02_0575","Human","NCBI GEO/SRA","Cell line","Blood","MOLM13_sgLKB1e2"
"Sample_02_0576","Human","NCBI GEO/SRA","Cell line","Blood","HEL_sgLKB1e2"
"Sample_02_0577","Human","NCBI GEO/SRA","Cell line","Blood","MOLM13_empty"
"Sample_02_0578","Human","NCBI GEO/SRA","Cell line","Blood","MOLM-13_sgSIK3e4"
"Sample_02_0579","Human","NCBI GEO/SRA","Cell line","Blood","HEL_sgNeg2"
"Sample_02_0580","Human","NCBI GEO/SRA","Cell line","Blood","HEL_sgSIK3e4"
"Sample_02_0581","Human","NCBI GEO/SRA","Cell line","Blood","MOLM13_empty_HG"
"Sample_02_0582","Human","NCBI GEO/SRA","Cell line","Blood","MOLM13_SIK3TQ_HG"
"Sample_02_0583","Human","NCBI GEO/SRA","Cell line","Liver","HuH-7"
"Sample_02_0584","Human","NCBI GEO/SRA","Cell line","Lung","H1299 WT"
"Sample_02_0585","Human","NCBI GEO/SRA","Primary cell","Umbilical vein","HUVEC 0hour"
"Sample_02_0586","Human","NCBI GEO/SRA","Primary cell","Chordal","patient-derived chordoma MGH_4"
"Sample_02_0587","Human","NCBI GEO/SRA","Primary cell","Chordal","matched normal adjacent to MGH_4 chordoma"
"Sample_02_0588","Human","NCBI GEO/SRA","Cell line","Cervix","HeLa Kyoto_untreated"
"Sample_02_0589","Human","NCBI GEO/SRA","Cell line","Cervix","HeLa Kyoto_Luci siRNA"
"Sample_02_0590","Human","NCBI GEO/SRA","Cell line","Cervix","HeLa Kyoto_Luci PWWP2A siRNA"
"Sample_02_0591","Human","NCBI GEO/SRA","Primary cell","PBMCs","adult CD4+CD25-CD45RA+CD27+ naive T cells"
"Sample_02_0592","Human","NCBI GEO/SRA","Primary cell","PBMCs","adult CD4+CD25hiCD127lo regulatory T cells"
"Sample_02_0593","Human","NCBI GEO/SRA","Primary cell","Fetal spleenocytes","fetal naive T cells"
"Sample_02_0594","Human","NCBI GEO/SRA","Primary cell","iPSC-derived","neural progenitors"
"Sample_02_0595","Human","NCBI GEO/SRA","Primary cell","Mammary gland","MCF10A_scrshRNA_Nutlin3A"
"Sample_02_0596","Human","NCBI GEO/SRA","Primary cell","Mammary gland","MCF10A_ DMSO"
"Sample_02_0597","Human","NCBI GEO/SRA","Primary cell","Mammary gland","MCF10A_Nutlin3A"
"Sample_02_0598","Human","NCBI GEO/SRA","Cell line","Colon","HCT116 TP53-/-_Nutlin3A"
"Sample_02_0599","Human","NCBI GEO/SRA","Cell line","Colon","HCT116_DMSO"
"Sample_02_0600","Human","NCBI GEO/SRA","Cell line","Mammary gland","MCF10A_p53shRNA_DMSO"
"Sample_02_0601","Human","NCBI GEO/SRA","Cell line","Mammary gland","MCF10A_p53shRNA_Nutlin3A"
"Sample_02_0602","Human","NCBI GEO/SRA","Cell line","Mammary gland","MCF10A_p63shRNA_DMSO"
"Sample_02_0603","Human","NCBI GEO/SRA","Cell line","Mammary gland","MCF10A_p63shRNA_Nutlin3A"
"Sample_02_0604","Human","NCBI GEO/SRA","Cell line","Mammary gland","MCF10A_scrshRNA_DMSO"
"Sample_02_0605","Human","NCBI GEO/SRA","Tissue","Skin","Skin Fibroblast_DMSO"
"Sample_02_0606","Human","NCBI GEO/SRA","Tissue","Skin","Skin Fibroblast_Nutlin3A"
"Sample_02_0607","Human","NCBI GEO/SRA","Cell line","Colon","HCT116 TP53-/-_Nutlin-3A"
"Sample_02_0608","Human","NCBI GEO/SRA","Cell line","Colon","HCT116_Nutlin-3A"
"Sample_02_0609","Human","NCBI GEO/SRA","Cell line","Liposarcoma","LPS141"
"Sample_02_0610","Human","NCBI GEO/SRA","Cell line","Liposarcoma","MLS 1765-92"
"Sample_02_0611","Human","NCBI GEO/SRA","Tissue","Liposarcoma","DDLPS_T1"
"Sample_02_0612","Human","NCBI GEO/SRA","Tissue","Liposarcoma","DDLPS_T2"
"Sample_02_0613","Human","NCBI GEO/SRA","Tissue","Liposarcoma","MLPS_T1"
"Sample_02_0614","Human","NCBI GEO/SRA","Tissue","Liposarcoma","MLPS_T2"
"Sample_02_0615","Human","NCBI GEO/SRA","Primary cell","Liposarcoma","liposarcoma cells_MLS402"
"Sample_02_0616","Human","NCBI GEO/SRA","Primary cell","Liposarcoma","liposarcoma cells_LP6"
"Sample_02_0617","Human","NCBI GEO/SRA","Primary cell","HSPC","FL CD34+CD38-/lowCD90+ HSPC"
"Sample_02_0618","Human","NCBI GEO/SRA","Cell line","Head and Neck","HPV+ HNSCC_SCC-090"
"Sample_02_0619","Human","NCBI GEO/SRA","Cell line","Head and Neck","HPV+ HNSCC_SCC-047"
"Sample_02_0620","Human","NCBI GEO/SRA","Primary cell","Aortic","Aortic Endothelial Cells_DF"
"Sample_02_0621","Human","NCBI GEO/SRA","Primary cell","Aortic","Aortic Endothelial Cells_UF"
"Sample_02_0622","Human","NCBI GEO/SRA","Cell line","Blood","EOL1_Naive"
"Sample_02_0623","Human","NCBI GEO/SRA","Cell line","Mammary gland","TAMR_E2"
"Sample_02_0624","Human","NCBI GEO/SRA","Cell line","Mammary gland","TAMR_VEH"
"Sample_02_0625","Human","NCBI GEO/SRA","Cell line","Mammary gland","WS8_4OHT"
"Sample_02_0626","Human","NCBI GEO/SRA","Cell line","Mammary gland","WS8_E2"
"Sample_02_0627","Human","NCBI GEO/SRA","Cell line","Mammary gland","WS8_VEH"
"Sample_02_0628","Human","NCBI GEO/SRA","Cell line","Brain","CHP-134"
"Sample_02_0629","Human","NCBI GEO/SRA","Cell line","Gastrointestinal Stromal","GIST-T1_DMSO"
"Sample_02_0630","Human","NCBI GEO/SRA","Cell line","Gastrointestinal Stromal","GIST-T1_Imatinib"
"Sample_02_0631","Human","NCBI GEO/SRA","Cell line","Gastrointestinal Stromal","GIST-T1_JQ1"
"Sample_02_0632","Human","NCBI GEO/SRA","Cell line","Gastrointestinal Stromal","GIST-48B_DMSO"
"Sample_02_0633","Human","NCBI GEO/SRA","Cell line","Gastrointestinal Stromal","GIST-48B_Imatinib"
"Sample_02_0634","Human","NCBI GEO/SRA","Cell line","Gastrointestinal Stromal","GIST-48B_JQ1"
"Sample_02_0635","Human","NCBI GEO/SRA","Cell line","Synovial sarcoma","HSSYII_Untreated"
"Sample_02_0636","Human","NCBI GEO/SRA","Cell line","Skin","BJ5ta"
"Sample_02_0637","Human","NCBI GEO/SRA","Primary cell","Fibroblast","fibroblast_WT_GM07492"
"Sample_02_0638","Human","NCBI GEO/SRA","Primary cell","Fibroblast","HGPS fibroblast_LMNA_AG11498"
"Sample_02_0639","Human","NCBI GEO/SRA","Tissue","Blood","T-ALL PDX"
"Sample_02_0640","Human","NCBI GEO/SRA","Cell line","Mammary gland","MDA-MB-436_DMSO"
"Sample_02_0641","Human","NCBI GEO/SRA","Cell line","Mammary gland","MDA-MB-436_20A paclitaxel"
"Sample_02_0642","Human","NCBI GEO/SRA","Cell line","Mammary gland","MDA-MB-436_20C paclitaxel"
"Sample_02_0643","Human","NCBI GEO/SRA","Cell line","Mammary gland","MDA-MB-436"
"Sample_02_0644","Human","NCBI GEO/SRA","Primary cell","Tracheobronchial epithelial","HTBE_H1N1_12h"
"Sample_02_0645","Human","NCBI GEO/SRA","Primary cell","Tracheobronchial epithelial","HTBE_H1N1_18h"
"Sample_02_0646","Human","NCBI GEO/SRA","Primary cell","Tracheobronchial epithelial","HTBE_H1N1_24h"
"Sample_02_0647","Human","NCBI GEO/SRA","Primary cell","Tracheobronchial epithelial","HTBE_H1N1_mock"
"Sample_02_0648","Human","NCBI GEO/SRA","Primary cell","Tracheobronchial epithelial","HTBE_H3N2_03h"
"Sample_02_0649","Human","NCBI GEO/SRA","Primary cell","Tracheobronchial epithelial","HTBE_H3N2_06h"
"Sample_02_0650","Human","NCBI GEO/SRA","Primary cell","Tracheobronchial epithelial","HTBE_H3N2_12h"
"Sample_02_0651","Human","NCBI GEO/SRA","Primary cell","Tracheobronchial epithelial","HTBE_H3N2_18h"
"Sample_02_0652","Human","NCBI GEO/SRA","Primary cell","Tracheobronchial epithelial","HTBE_H3N2_mock"
"Sample_02_0653","Human","NCBI GEO/SRA","Primary cell","Tracheobronchial epithelial","HTBE_H5N1_03h"
"Sample_02_0654","Human","NCBI GEO/SRA","Primary cell","Tracheobronchial epithelial","HTBE_H5N1_06h"
"Sample_02_0655","Human","NCBI GEO/SRA","Primary cell","Tracheobronchial epithelial","HTBE_H5N1_12h"
"Sample_02_0656","Human","NCBI GEO/SRA","Primary cell","Tracheobronchial epithelial","HTBE_H5N1_mock"
"Sample_02_0657","Human","NCBI GEO/SRA","Primary cell","Tracheobronchial epithelial","HTBE_H1N1_06h"
"Sample_02_0658","Human","NCBI GEO/SRA","Primary cell","Tracheobronchial epithelial","HTBE_H5N1_18h"
"Sample_02_0659","Human","NCBI GEO/SRA","Cell line","Lung","H23"
"Sample_02_0660","Human","NCBI GEO/SRA","Primary cell","Mammary gland","MCF10DCIS"
"Sample_02_0661","Human","NCBI GEO/SRA","Primary cell","Mammary gland","MCF10DCIS-TetTCF7"
"Sample_02_0662","Human","NCBI GEO/SRA","Primary cell","Mammary gland","N250"
"Sample_02_0663","Human","NCBI GEO/SRA","Cell line","Thyroid","TT"
"Sample_02_0664","Human","NCBI GEO/SRA","Cell line","Prostate","LNCaP_DMSO"
"Sample_02_0665","Human","NCBI GEO/SRA","Cell line","Prostate","RWPE1 Schlap1 rep1"
"Sample_02_0666","Human","NCBI GEO/SRA","Cell line","Prostate","RWPE1 Lacz rep1"
"Sample_02_0667","Human","NCBI GEO/SRA","Tissue","Mammary gland","MCF7_FA"
"Sample_02_0668","Human","NCBI GEO/SRA","Tissue","Prostate","prostate cancer FA"
"Sample_02_0669","Human","NCBI GEO/SRA","Tissue","Prostate","prostate cancer_DSG"
"Sample_02_0670","Human","NCBI GEO/SRA","Tissue","Mammary gland","breast cancer FA"
"Sample_02_0671","Human","NCBI GEO/SRA","Tissue","Mammary gland","breast cancer_DSG"
"Sample_02_0672","Human","NCBI GEO/SRA","Tissue","Endometrium","endometrium cancer_DSG"
"Sample_02_0673","Human","NCBI GEO/SRA","Cell line","Prostate","LNCAP_FA"
"Sample_02_0674","Human","NCBI GEO/SRA","Cell line","Endometrium","E1_FA"
"Sample_02_0675","Human","NCBI GEO/SRA","Primary cell","Embryo","H1 hESC-derived neural progenitor cells_Smad_0hr"
"Sample_02_0676","Human","NCBI GEO/SRA","Primary cell","Embryo","H1 hESC-derived neural progenitor cells_Smad_3hr"
"Sample_02_0677","Human","NCBI GEO/SRA","Primary cell","Embryo","H1 hESC-derived neural progenitor cells_Smad_6hr"
"Sample_02_0678","Human","NCBI GEO/SRA","Primary cell","Embryo","H1 hESC-derived neural progenitor cells_Smad_12hr"
"Sample_02_0679","Human","NCBI GEO/SRA","Primary cell","Embryo","H1 hESC-derived neural progenitor cells_Smad_24hr"
"Sample_02_0680","Human","NCBI GEO/SRA","Primary cell","Embryo","H1 hESC-derived neural progenitor cells_Smad_48hr"
"Sample_02_0681","Human","NCBI GEO/SRA","Primary cell","Embryo","H1 hESC-derived neural progenitor cells_Smad_72hr"
"Sample_02_0682","Human","NCBI GEO/SRA","Cell line","Blood","Kasumi-1"
"Sample_02_0683","Human","NCBI GEO/SRA","Cell line","Lung","DMS114"
"Sample_02_0684","Human","NCBI GEO/SRA","Cell line","Lung","DMS79"
"Sample_02_0685","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H1048_no infection"
"Sample_02_0686","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H128_no infection"
"Sample_02_0687","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H146_no infection"
"Sample_02_0688","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H211_no infection"
"Sample_02_0689","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H446_no infection"
"Sample_02_0690","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H510A_no infection"
"Sample_02_0691","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H524_no infection"
"Sample_02_0692","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H526_no infection"
"Sample_02_0693","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H69_no infection"
"Sample_02_0694","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H82_no infection"
"Sample_02_0695","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H889_no infection"
"Sample_02_0696","Human","NCBI GEO/SRA","Cell line","Lung","COR-L311"
"Sample_02_0697","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H1048-cas9_sgHROSA"
"Sample_02_0698","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H1048-cas9_sgPOU2F3"
"Sample_02_0699","Human","NCBI GEO/SRA","Cell line","Brain","Kelly_shB4_Res"
"Sample_02_0700","Human","NCBI GEO/SRA","Cell line","Brain","Kelly_shLUC_Res"
"Sample_02_0701","Human","NCBI GEO/SRA","Cell line","Bone","David_TC32"
"Sample_02_0702","Human","NCBI GEO/SRA","Cell line","Bone","David_TC71"
"Sample_02_0703","Human","NCBI GEO/SRA","Cell line","Pancreas","PATU8988S WT"
"Sample_02_0704","Human","NCBI GEO/SRA","Cell line","Pancreas","HPAFII WT"
"Sample_02_0705","Human","NCBI GEO/SRA","Cell line","Pancreas","AsPC1 WT"
"Sample_02_0706","Human","NCBI GEO/SRA","Cell line","Pancreas","SUIT2 WT"
"Sample_02_0707","Human","NCBI GEO/SRA","Cell line","Pancreas","BxPC3 WT"
"Sample_02_0708","Human","NCBI GEO/SRA","Primary cell","Pancreas","hF3 organoid"
"Sample_02_0709","Human","NCBI GEO/SRA","Primary cell","Pancreas","hT85_organoid"
"Sample_02_0710","Human","NCBI GEO/SRA","Primary cell","Pancreas","hN34_organoid"
"Sample_02_0711","Human","NCBI GEO/SRA","Primary cell","Pancreas","hN35_organoid"
"Sample_02_0712","Human","NCBI GEO/SRA","Primary cell","Pancreas","BxPC3_sgNEG"
"Sample_02_0713","Human","NCBI GEO/SRA","Primary cell","Pancreas","BxPC3_sgTP63"
"Sample_02_0714","Human","NCBI GEO/SRA","Cell line","Pancreas","SUIT2_MTV"
"Sample_02_0715","Human","NCBI GEO/SRA","Cell line","Pancreas","SUIT2_TP63dN"
"Sample_02_0716","Human","NCBI GEO/SRA","Cell line","Pancreas","SUIT2_GFP"
"Sample_02_0717","Human","NCBI GEO/SRA","Cell line","Pancreas","HPAFII_GFP_DOX"
"Sample_02_0718","Human","NCBI GEO/SRA","Cell line","Pancreas","PATU8988S_GFP_DOX"
"Sample_02_0719","Human","NCBI GEO/SRA","Cell line","Pancreas","SUIT2_TP63dN_DOX"
"Sample_02_0720","Human","NCBI GEO/SRA","Cell line","Pancreas","AsPC1_TP63dN_DOX"
"Sample_02_0721","Human","NCBI GEO/SRA","Cell line","Pancreas","HPAFII_TP63dN_DOX"
"Sample_02_0722","Human","NCBI GEO/SRA","Cell line","Pancreas","PATU8988S_TP63dN_DOX"
"Sample_02_0723","Human","NCBI GEO/SRA","Cell line","Pancreas","MIAPaca2 WT"
"Sample_02_0724","Human","NCBI GEO/SRA","Primary cell","Pancreatic duct","AsPC1_GFP_DOX"
"Sample_02_0725","Human","NCBI GEO/SRA","Cell line","Mammary gland","MCF10A-YAP5SA_ctrl"
"Sample_02_0726","Human","NCBI GEO/SRA","Cell line","Mammary gland","MCF10A-YAP5SA_plusDOX"
"Sample_02_0727","Human","NCBI GEO/SRA","Cell line","Fetal lung","IMR90_Etoposide"
"Sample_02_0728","Human","NCBI GEO/SRA","Tissue","Lymphoma","I10_Mantle cell lymphoma tissue_DMSO"
"Sample_02_0729","Human","NCBI GEO/SRA","Tissue","Lymphoma","I10_Mantle cell lymphoma tissue_THZ1"
"Sample_02_0730","Human","NCBI GEO/SRA","Tissue","Lymphoma","J4_Mantle cell lymphoma tissue_DMSO"
"Sample_02_0731","Human","NCBI GEO/SRA","Tissue","Lymphoma","J4_Mantle cell lymphoma tissue_THZ1"
"Sample_02_0732","Human","NCBI GEO/SRA","Tissue","Lymphoma","L20_Mantle cell lymphoma tissue_DMSO"
"Sample_02_0733","Human","NCBI GEO/SRA","Tissue","Lymphoma","L20_Mantle cell lymphoma tissue_THZ1"
"Sample_02_0734","Human","NCBI GEO/SRA","Tissue","Lymphoma","PAR_Mantle cell lymphoma tissue_DMSO"
"Sample_02_0735","Human","NCBI GEO/SRA","Tissue","Lymphoma","PAR_Mantle cell lymphoma tissue_THZ1"
"Sample_02_0736","Human","NCBI GEO/SRA","Tissue","Blood","Pt24_leukemia cell_THZ1"
"Sample_02_0737","Human","NCBI GEO/SRA","Tissue","Blood","Pt17_leukemia cell_THZ1"
"Sample_02_0738","Human","NCBI GEO/SRA","Tissue","Blood","Pt22_leukemia cell_THZ1"
"Sample_02_0739","Human","NCBI GEO/SRA","Cell line","Blood","Nalm6"
"Sample_02_0740","Human","NCBI GEO/SRA","Cell line","Muscle","RH3"
"Sample_02_0741","Human","NCBI GEO/SRA","Cell line","Muscle","RH30"
"Sample_02_0742","Human","NCBI GEO/SRA","Stem cell","Embryo","ESCs_day0"
"Sample_02_0743","Human","NCBI GEO/SRA","Primary cell","Embryo","ES derived mesoderm_day2"
"Sample_02_0744","Human","NCBI GEO/SRA","Primary cell","Embryo","ES derived cardiac mesoderm_day5"
"Sample_02_0745","Human","NCBI GEO/SRA","Primary cell","Embryo","ES derived cardiac progenitor cells_day7"
"Sample_02_0746","Human","NCBI GEO/SRA","Primary cell","Embryo","ES derived primitive cardiomyocite_day15"
"Sample_02_0747","Human","NCBI GEO/SRA","Primary cell","Embryo","ES derived ventricular cardiomyocyte_day80"
"Sample_02_0748","Human","NCBI GEO/SRA","Cell line","Mammary gland","HCC1599_WO"
"Sample_02_0749","Human","NCBI GEO/SRA","Cell line","Mammary gland","HCC1599_GSI"
"Sample_02_0750","Human","NCBI GEO/SRA","Cell line","Lymphoma","Rec-1_GSI"
"Sample_02_0751","Human","NCBI GEO/SRA","Cell line","Lymphoma","Rec-1_WO"
"Sample_02_0752","Human","NCBI GEO/SRA","Primary cell","Embryo","ES-derived progenitors_DE_wild type"
"Sample_02_0753","Human","NCBI GEO/SRA","Primary cell","Embryo","ES-derived progenitors_FG type"
"Sample_02_0754","Human","NCBI GEO/SRA","Primary cell","Embryo","ES-derived progenitors Pancreatic Progenitors 1 WT"
"Sample_02_0755","Human","NCBI GEO/SRA","Primary cell","Embryo","ES-derived progenitors_DE FOXA2 -/-"
"Sample_02_0756","Human","NCBI GEO/SRA","Primary cell","Embryo","ES-derived progenitors_FG FOXA2 -/-"
"Sample_02_0757","Human","NCBI GEO/SRA","Primary cell","Embryo","ES-derived progenitors_FOXA2 -/-"
"Sample_02_0758","Human","NCBI GEO/SRA","Cell line","Peripheral blood","REH"
"Sample_02_0759","Human","NCBI GEO/SRA","Cell line","Ovary","BIN-67_Control"
"Sample_02_0760","Human","NCBI GEO/SRA","Cell line","Ovary","BIN-67_SMARCA4"
"Sample_02_0761","Human","NCBI GEO/SRA","Cell line","Ovary","BIN-67_SMARCA4.T910M"
"Sample_02_0762","Human","NCBI GEO/SRA","Primary cell","Podocyte","podocyte_CTL"
"Sample_02_0763","Human","NCBI GEO/SRA","Primary cell","Podocyte","podocyte_DEX"
"Sample_02_0764","Human","NCBI GEO/SRA","Cell line","Prostate","LNCaP_DHT_DMSO_6h"
"Sample_02_0765","Human","NCBI GEO/SRA","Cell line","Prostate","22RV1-DHT-DMSO_6h"
"Sample_02_0766","Human","NCBI GEO/SRA","Cell line","Ovary","PEO1"
"Sample_02_0767","Human","NCBI GEO/SRA","Cell line","Ovary","OVCA429"
"Sample_02_0768","Human","NCBI GEO/SRA","Cell line","Ovary","SKOV3"
"Sample_02_0769","Human","NCBI GEO/SRA","Cell line","Ovary","HEYA8"
"Sample_02_0770","Human","NCBI GEO/SRA","Cell line","Ovary","OVCA429_shLuc"
"Sample_02_0771","Human","NCBI GEO/SRA","Cell line","Ovary","OVCA429_shGRHL2"
"Sample_02_0772","Human","NCBI GEO/SRA","Cell line","Prostate","22Rv1_delSite1_Clone11/12-F6"
"Sample_02_0773","Human","NCBI GEO/SRA","Cell line","Prostate","22Rv1_delSite4_Clone22/23-F8"
"Sample_02_0774","Human","NCBI GEO/SRA","Cell line","Prostate","22Rv1_delSite1_Clone11/12-D8"
"Sample_02_0775","Human","NCBI GEO/SRA","Cell line","Pancreas","EndoC-BH1_SE"
"Sample_02_0776","Human","NCBI GEO/SRA","Cell line","Pancreas","EndoC-BH1"
"Sample_02_0777","Human","NCBI GEO/SRA","Cell line","Mammary gland","MCF7_TAMR"
"Sample_02_0778","Human","NCBI GEO/SRA","Cell line","Mammary gland","MCF7_FASR"
"Sample_02_0779","Human","NCBI GEO/SRA","Cell line","Lymphoma","U2932"
"Sample_02_0780","Human","NCBI GEO/SRA","Cell line","Liver","SMMC-7721"
"Sample_02_0781","Human","NCBI GEO/SRA","Primary cell","Lymphoma","Pfeiffer_DMSO"
"Sample_02_0782","Human","NCBI GEO/SRA","Cell line","Blood","MEC1"
"Sample_02_0783","Human","NCBI GEO/SRA","Cell line","Blood","MEC2"
"Sample_02_0784","Human","NCBI GEO/SRA","Cell line","Blood","OSU-CLL"
"Sample_02_0785","Human","NCBI GEO/SRA","Cell line","Brain","2097"
"Sample_02_0786","Human","NCBI GEO/SRA","Cell line","Brain","2489"
"Sample_02_0787","Human","NCBI GEO/SRA","Cell line","Brain","2566"
"Sample_02_0788","Human","NCBI GEO/SRA","Stem cell","Brain","3565"
"Sample_02_0789","Human","NCBI GEO/SRA","Stem cell","Brain","3752"
"Sample_02_0790","Human","NCBI GEO/SRA","Cell line","Brain","DI28"
"Sample_02_0791","Human","NCBI GEO/SRA","Cell line","Brain","2455"
"Sample_02_0792","Human","NCBI GEO/SRA","Cell line","Brain","2647"
"Sample_02_0793","Human","NCBI GEO/SRA","Stem cell","Brain","MES20"
"Sample_02_0794","Human","NCBI GEO/SRA","Stem cell","Brain","1552"
"Sample_02_0795","Human","NCBI GEO/SRA","Stem cell","Brain","1953"
"Sample_02_0796","Human","NCBI GEO/SRA","Stem cell","Brain","2229"
"Sample_02_0797","Human","NCBI GEO/SRA","Stem cell","Brain","PNMNK1"
"Sample_02_0798","Human","NCBI GEO/SRA","Stem cell","Brain","1919"
"Sample_02_0799","Human","NCBI GEO/SRA","Stem cell","Brain","MESMN1"
"Sample_02_0800","Human","NCBI GEO/SRA","Stem cell","Brain","3679"
"Sample_02_0801","Human","NCBI GEO/SRA","Stem cell","Brain","2235"
"Sample_02_0802","Human","NCBI GEO/SRA","Stem cell","Brain","3094"
"Sample_02_0803","Human","NCBI GEO/SRA","Cell line","Brain","3128_GBM"
"Sample_02_0804","Human","NCBI GEO/SRA","Cell line","Brain","2229_GBM"
"Sample_02_0805","Human","NCBI GEO/SRA","Cell line","Brain","2223_GBM"
"Sample_02_0806","Human","NCBI GEO/SRA","Cell line","Brain","3332_GBM"
"Sample_02_0807","Human","NCBI GEO/SRA","Primary cell","Pancreatic duct","pancreatic epithelial cells_ARID1A_KO"
"Sample_02_0808","Human","NCBI GEO/SRA","Cell line","Ovary","RMG1_ARID1A KO"
"Sample_02_0809","Human","NCBI GEO/SRA","Cell line","Mammary gland","T47D Serum"
"Sample_02_0810","Human","NCBI GEO/SRA","Cell line","Mammary gland","T47D noSerum"
"Sample_02_0811","Human","NCBI GEO/SRA","Cell line","Thyroid","BCPAP"
"Sample_02_0812","Human","NCBI GEO/SRA","Primary cell","Head and neck","HN120-Pri"
"Sample_02_0813","Human","NCBI GEO/SRA","Primary cell","Head and neck","HN120-Met"
"Sample_02_0814","Human","NCBI GEO/SRA","Primary cell","Head and neck","HN120-MCRDH"
"Sample_02_0815","Human","NCBI GEO/SRA","Cell line","Mammary gland","SUM159PT"
"Sample_02_0816","Human","NCBI GEO/SRA","Primary cell","Ovary","Clear cell ovarian cancer"
"Sample_02_0817","Human","NCBI GEO/SRA","Primary cell","Ovary","Epithelial ovarian cancer"
"Sample_02_0818","Human","NCBI GEO/SRA","Primary cell","Ovary","High-grade serous ovarian cancer"
"Sample_02_0819","Human","NCBI GEO/SRA","Primary cell","Ovary","Mucinous ovarian cancer"
"Sample_02_0820","Human","NCBI GEO/SRA","Cell line","Haematopoietic and lymphoid tissue","SET-2_WT_DMSO"
"Sample_02_0821","Human","NCBI GEO/SRA","Cell line","Haematopoietic and lymphoid tissue","SET-2_WT_GSK-LSD1"
"Sample_02_0822","Human","NCBI GEO/SRA","Cell line","Haematopoietic and lymphoid tissue","SET-2_insR_DMSO"
"Sample_02_0823","Human","NCBI GEO/SRA","Cell line","Haematopoietic and lymphoid tissue","SET-2_insR_GSK-LSD1"
"Sample_02_0824","Human","NCBI GEO/SRA","Cell line","Stomach","LMSU"
"Sample_02_0825","Human","NCBI GEO/SRA","Cell line","Stomach","SNU484"
"Sample_02_0826","Human","NCBI GEO/SRA","Tissue","Stomach","gastric tumor"
"Sample_02_0827","Human","NCBI GEO/SRA","Tissue","Stomach","normal gastric"
"Sample_02_0828","Human","NCBI GEO/SRA","Cell line","Lung","H1703 Control-infected"
"Sample_02_0829","Human","NCBI GEO/SRA","Cell line","Lung","H1703 SMARCA4-infected"
"Sample_02_0830","Human","NCBI GEO/SRA","Cell line","Lung","H1703 SMARCA2-infected"
"Sample_02_0831","Human","NCBI GEO/SRA","Primary cell","Umblical vein","HUVECs_TNF0min"
"Sample_02_0832","Human","NCBI GEO/SRA","Primary cell","Umblical vein","HUVECs_TNF30min"
"Sample_02_0833","Human","NCBI GEO/SRA","Primary cell","Bone marrow","TEX-HIST1H3F-K27I-2-Rx_cells"
"Sample_02_0834","Human","NCBI GEO/SRA","Primary cell","Bone marrow","TEX-HIST1H3F-WT-Rx_cells"
"Sample_02_0835","Human","NCBI GEO/SRA","Primary cell","Bone marrow","TEX-HIST1H3H-K27M-Rx_cells"
"Sample_02_0836","Human","NCBI GEO/SRA","Primary cell","Bone marrow","TEX-HIST1H3H-WT-Rx_cells"
"Sample_02_0837","Human","NCBI GEO/SRA","Primary cell","Bone marrow","TEX-Luciferase-Rx_cells"
"Sample_02_0838","Human","NCBI GEO/SRA","Primary cell","Embryo","hNPCs_WT"
"Sample_02_0839","Human","NCBI GEO/SRA","Primary cell","Embryo","hNPCs_K755R/+"
"Sample_02_0840","Human","NCBI GEO/SRA","Primary cell","Embryo","hNPCs_R1159Q/+"
"Sample_02_0841","Human","NCBI GEO/SRA","Cell line","Blood","THP-1_untr"
"Sample_02_0842","Human","NCBI GEO/SRA","Primary cell","Umbilical cord blood","HSPC-derived early erythroid progenitors"
"Sample_02_0843","Human","NCBI GEO/SRA","Primary cell","Umbilical cord blood","HSPC-derived late erythroid precursors"
"Sample_02_0844","Human","NCBI GEO/SRA","Cell line","Mammary gland","MCF-7_DMSO_sgARID1A-1_KO"
"Sample_02_0845","Human","NCBI GEO/SRA","Cell line","Mammary gland","MCF-7_DMSO_sgARID1A-2_KO"
"Sample_02_0846","Human","NCBI GEO/SRA","Cell line","Mammary gland","MDA-MB-231_untreat"
"Sample_02_0847","Human","NCBI GEO/SRA","Cell line","Mammary gland","LM2-4175"
"Sample_02_0848","Human","NCBI GEO/SRA","Induced pluripotent stem cell","iPSCs","iPSC_DMSO"
